trial,finger,skin,disp_m,force_n,k_n_per_m,batch,fw
middle_1,middle,off,0.00120,4.61436,,synthetic_batch_v1.0,synthetic-fw
middle_2,middle,off,0.00010,0.16152,,synthetic_batch_v1.0,synthetic-fw
middle_2,middle,off,0.00020,0.79536,,synthetic_batch_v1.0,synthetic-fw
middle_2,middle,off,0.00035,1.48220,,synthetic_batch_v1.0,synthetic-fw
middle_2,middle,off,0.00050,2.16060,,synthetic_batch_v1.0,synthetic-fw
middle_2,middle,off,0.00070,2.90364,,synthetic_batch_v1.0,synthetic-fw
middle_2,middle,off,0.00090,3.81858,,synthetic_batch_v1.0,synthetic-fw
middle_2,middle,off,0.00100,4.18271,,synthetic_batch_v1.0,synthetic-fw
middle_2,middle,off,0.00120,5.09951,,synthetic_batch_v1.0,synthetic-fw
middle_3,middle,off,0.00010,0.14934,,synthetic_batch_v1.0,synthetic-fw
middle_3,middle,off,0.00020,0.86388,,synthetic_batch_v1.0,synthetic-fw
middle_3,middle,off,0.00035,1.35543,,synthetic_batch_v1.0,synthetic-fw
middle_3,middle,off,0.00050,1.93225,,synthetic_batch_v1.0,synthetic-fw
middle_3,middle,off,0.00070,2.81776,,synthetic_batch_v1.0,synthetic-fw
middle_3,middle,off,0.00090,3.49239,,synthetic_batch_v1.0,synthetic-fw
middle_3,middle,off,0.00100,4.00734,,synthetic_batch_v1.0,synthetic-fw
middle_3,middle,off,0.00120,4.70166,,synthetic_batch_v1.0,synthetic-fw
middle_4,middle,off,0.00010,0.12741,,synthetic_batch_v1.0,synthetic-fw
middle_4,middle,off,0.00020,0.73371,,synthetic_batch_v1.0,synthetic-fw
middle_4,middle,off,0.00035,1.28289,,synthetic_batch_v1.0,synthetic-fw
middle_4,middle,off,0.00050,1.81353,,synthetic_batch_v1.0,synthetic-fw
middle_4,middle,off,0.00070,2.59295,,synthetic_batch_v1.0,synthetic-fw
middle_4,middle,off,0.00090,3.18539,,synthetic_batch_v1.0,synthetic-fw
middle_4,middle,off,0.00100,3.62024,,synthetic_batch_v1.0,synthetic-fw
middle_4,middle,off,0.00120,4.36042,,synthetic_batch_v1.0,synthetic-fw
middle_5,middle,off,0.00010,0.06297,,synthetic_batch_v1.0,synthetic-fw
middle_5,middle,off,0.00020,0.80173,,synthetic_batch_v1.0,synthetic-fw
middle_5,middle,off,0.00035,1.38108,,synthetic_batch_v1.0,synthetic-fw
middle_5,middle,off,0.00050,2.01170,,synthetic_batch_v1.0,synthetic-fw
middle_5,middle,off,0.00070,2.87923,,synthetic_batch_v1.0,synthetic-fw
middle_5,middle,off,0.00090,3.68537,,synthetic_batch_v1.0,synthetic-fw
middle_5,middle,off,0.00100,4.13419,,synthetic_batch_v1.0,synthetic-fw
middle_5,middle,off,0.00120,4.86793,,synthetic_batch_v1.0,synthetic-fw
